指标,06-08,06-09,06-10,06-11,06-12,06-13,06-14,06-15,06-16,06-17,06-18,06-19,06-20,06-21,06-22,06-23,06-24,06-25,06-26,06-27,06-28,06-29,合计
P0新增,7,22,3,5,26,8,0,10,0,36,3,2,0,0,14,6,10,4,11,0,0,0,167
P1新增,8,15,5,4,25,17,3,24,7,76,22,0,1,4,24,20,36,16,11,5,1,0,324
P0+P1合计,15,37,8,9,51,25,3,34,7,112,25,2,1,4,38,26,46,20,22,5,1,0,491
